"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","4/8/14","13:30:00","","","USGS-02086849","Routine sample","Stable, high stage","Barometric pressure","","740","Accepted","Actual"
"USGS-NC","4/21/86","10:10:00","","","USGS-02086849","Routine sample","Falling stage","Barometric pressure","","744","Historical","Actual"
"USGS-NC","12/6/16","14:30:00","","","USGS-0208675009","Storm","Rising stage","Barometric pressure","","746","Accepted","Actual"
"USGS-NC","10/24/83","8:00:00","","","USGS-02086849","Routine sample","Falling stage","Barometric pressure","","746","Historical","Actual"
"USGS-NC","11/29/83","10:45:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","747","Historical","Actual"
"USGS-NC","3/2/07","8:45:00","","","USGS-02086849","Storm","Falling stage","Barometric pressure","","747","Accepted","Actual"
"USGS-NC","10/8/16","16:45:00","","","USGS-0208675009","Storm","Peak stage","Barometric pressure","","747","Accepted","Actual"
"USGS-NC","6/18/85","9:40:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","749","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","","","USGS-02086849","Routine sample","Rising stage","Barometric pressure","","749","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure","","750","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","","","USGS-02086849","Storm","Falling stage","Barometric pressure","","751","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","","","USGS-02086849","Storm","Peak stage","Barometric pressure","","751","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","752","Accepted","Actual"
"USGS-NC","8/20/86","13:40:00","","","USGS-02086849","Routine sample","Rising stage","Barometric pressure","","752","Historical","Actual"
"USGS-NC","9/27/10","3:45:00","9/27/10","8:00:59","USGS-02086849","Storm","Rising stage","Barometric pressure","","752","Accepted","Actual"
"USGS-NC","3/29/94","9:45:00","","","USGS-0208682450","Storm","Falling stage","Barometric pressure","","753","Historical","Actual"
"USGS-NC","4/9/84","10:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","753","Historical","Actual"
"USGS-NC","1/24/84","9:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure","","754","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","","","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure","","754","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","754","Accepted","Actual"
"USGS-NC","8/23/84","10:45:00","","","USGS-02086849","Routine sample","Rising stage","Barometric pressure","","755","Historical","Actual"
"USGS-NC","6/5/84","10:30:00","","","USGS-02086849","Routine sample","Falling stage","Barometric pressure","","755","Historical","Actual"
"USGS-NC","4/25/12","12:30:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Barometric pressure","","755","Preliminary","Actual"
"USGS-NC","3/30/12","12:10:00","","","USGS-0208675010","Routine sample","Stable, low stage","Barometric pressure","","756","Preliminary","Actual"
"USGS-NC","1/22/86","9:35:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","756","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","756","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","","","USGS-02086849","Routine sample","Falling stage","Barometric pressure","","756","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","756","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","757","Accepted","Actual"
"USGS-NC","1/8/87","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Barometric pressure","","757","Historical","Actual"
"USGS-NC","10/26/11","10:35:00","","","USGS-0208675010","Routine sample","Stable, low stage","Barometric pressure","","757","Preliminary","Actual"
"USGS-NC","5/26/93","12:00:00","","","USGS-02086849","Storm","Rising stage","Barometric pressure","","758","Historical","Actual"
"USGS-NC","7/12/16","9:45:00","","","USGS-0208682450","Routine sample","Stable, normal stage","Barometric pressure","","758","Accepted","Actual"
"USGS-NC","7/12/16","11:00:00","","","USGS-02086835","Routine sample","Stable, normal stage","Barometric pressure","","758","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","","","USGS-02086837","Routine sample","Stable, normal stage","Barometric pressure","","758","Accepted","Actual"
"USGS-NC","7/12/16","15:20:00","","","USGS-02086841","Routine sample","Stable, normal stage","Barometric pressure","","758","Accepted","Actual"
"USGS-NC","7/12/16","13:10:00","","","USGS-360226078512801","Routine sample","Stable, normal stage","Barometric pressure","","758","Accepted","Actual"
"USGS-NC","10/23/84","14:05:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","759","Historical","Actual"
"USGS-NC","1/3/85","9:45:00","","","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure","","759","Historical","Actual"
"USGS-NC","9/26/83","8:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","759","Historical","Actual"
"USGS-NC","5/6/14","15:20:00","","","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure","","760","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","761","Accepted","Actual"
"USGS-NC","7/22/85","14:15:00","","","USGS-02086849","Routine sample","Rising stage","Barometric pressure","","761","Historical","Actual"
"USGS-NC","4/21/92","15:30:00","","","USGS-02086849","Storm","Peak stage","Barometric pressure","","762","Historical","Actual"
"USGS-NC","3/27/18","12:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Barometric pressure","","762","Accepted","Actual"
"USGS-NC","3/27/18","11:00:00","","","USGS-360211078513701","Routine sample","Stable, normal stage","Barometric pressure","","762","Accepted","Actual"
"USGS-NC","9/24/84","9:15:00","","","USGS-02086849","Routine sample","Stable, low stage","Barometric pressure","","763","Historical","Actual"
"USGS-NC","5/19/09","11:30:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","767","Accepted","Actual"
"USGS-NC","3/25/86","9:45:00","","","USGS-02086849","Routine sample","Falling stage","Barometric pressure","","769","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","","","USGS-02086849","Routine sample","Stable, high stage","Wind velocity","","5","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, mean. daily","","17","Accepted","Estimated"
"USGS-NC","10/26/11","10:35:00","","","USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous","","0.27","Preliminary","Actual"
"USGS-NC","4/21/86","10:10:00","","","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous","","103","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","11","Accepted","Actual"
"USGS-NC","3/30/12","12:10:00","","","USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous","","1.1","Preliminary","Actual"
"USGS-NC","6/14/06","14:30:00","","","USGS-02086849","Storm","Peak stage","Stream flow, instantaneous","","1170","Accepted","Actual"
"USGS-NC","11/29/83","10:45:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","12","Historical","Actual"
"USGS-NC","7/22/85","14:15:00","","","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous","","12","Historical","Actual"
"USGS-NC","6/5/84","10:30:00","","","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous","","12","Historical","Actual"
"USGS-NC","1/8/87","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous","","12","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","13","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","13","Historical","Actual"
"USGS-NC","8/23/94","14:45:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","14","Historical","Actual"
"USGS-NC","11/18/92","15:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","15","Historical","Actual"
"USGS-NC","1/5/84","10:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","15","Historical","Actual"
"USGS-NC","10/23/84","14:05:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","15","Historical","Actual"
"USGS-NC","5/19/09","11:30:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","15","Accepted","Actual"
"USGS-NC","4/28/93","16:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","16","Historical","Actual"
"USGS-NC","3/25/86","9:45:00","","","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous","","16","Historical","Actual"
"USGS-NC","2/23/84","13:15:00","","","USGS-02086849","Flood","Rising stage","Stream flow, instantaneous","","1840","Historical","Actual"
"USGS-NC","3/18/83","10:05:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","1870","Historical","Actual"
"USGS-NC","2/2/84","15:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","19","Historical","Actual"
"USGS-NC","5/20/14","14:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","204","Accepted","Estimated"
"USGS-NC","5/6/14","15:20:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","21","Accepted","Actual"
"USGS-NC","1/24/84","9:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","21","Historical","Actual"
"USGS-NC","3/18/83","17:25:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","2160","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","23","Accepted","Actual"
"USGS-NC","2/21/84","15:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","24","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","","","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous","","2410","Historical","Actual"
"USGS-NC","5/10/84","15:30:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","26","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","","","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous","","26","Historical","Actual"
"USGS-NC","4/23/14","10:30:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","27","Accepted","Actual"
"USGS-NC","4/9/84","10:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","28","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","30","Historical","Actual"
"USGS-NC","9/26/83","8:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","3.1","Historical","Actual"
"USGS-NC","9/27/10","3:45:00","9/27/10","8:00:59","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous","","319","Accepted","Actual"
"USGS-NC","4/6/89","12:40:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","370","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","4.3","Historical","Actual"
"USGS-NC","12/12/82","12:00:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","434","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","4.6","Historical","Actual"
"USGS-NC","7/8/11","16:15:00","7/8/11","21:45:59","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous","","488","Accepted","Actual"
"USGS-NC","6/18/85","9:40:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","5","Historical","Actual"
"USGS-NC","4/21/92","15:30:00","","","USGS-02086849","Storm","Peak stage","Stream flow, instantaneous","","51","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","","","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous","","62","Historical","Actual"
"USGS-NC","5/26/93","12:00:00","","","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous","","72","Historical","Actual"
"USGS-NC","2/23/12","11:45:00","","","USGS-0208675010","Routine sample","Falling stage","Stream flow, instantaneous","","7.2","Preliminary","Actual"
"USGS-NC","10/24/83","8:00:00","","","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous","","78","Historical","Actual"
"USGS-NC","1/3/85","9:45:00","","","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous","","806","Historical","Actual"
"USGS-NC","12/21/88","10:00:00","","","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous","","8.6","Historical","Actual"
"USGS-NC","1/22/86","9:35:00","","","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous","","9","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","","","USGS-02086849","Routine sample","Stable, high stage","Stream flow, instantaneous","","91","Accepted","Actual"
"USGS-NC","3/2/07","8:45:00","","","USGS-02086849","Storm","Falling stage","Stream flow, instantaneous","","953","Accepted","Actual"
"USGS-NC","8/18/83","13:30:00","","","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous","","9.6","Historical","Actual"
"USGS-NC","8/23/84","10:45:00","","","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous","","9.8","Historical","Actual"
"USGS-NC","10/26/11","10:35:00","","","USGS-0208675010","Routine sample","Stable, low stage","Height, gage","","0.29","Preliminary","Actual"
"USGS-NC","3/30/12","12:10:00","","","USGS-0208675010","Routine sample","Stable, low stage","Height, gage","","0.36","Preliminary","Actual"
"USGS-NC","2/23/12","11:45:00","","","USGS-0208675010","Routine sample","Falling stage","Height, gage","","0.5","Preliminary","Actual"
"USGS-NC","1/8/87","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Height, gage","","0.93","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","","","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","0.99","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","","","USGS-02086849","Routine sample","Rising stage","Height, gage","","10.75","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","","","USGS-02086849","Storm","Falling stage","Height, gage","","11.87","Accepted","Actual"
"USGS-NC","6/3/14","9:00:00","","","USGS-02086849","Routine sample","Not determined","Height, gage","","1.47","Accepted","Actual"
"USGS-NC","5/19/09","11:30:00","","","USGS-02086849","Routine sample","Not determined","Height, gage","","1.57","Accepted","Actual"
"USGS-NC","11/18/92","15:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.61","Historical","Actual"
"USGS-NC","5/6/14","15:20:00","","","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.65","Accepted","Actual"
"USGS-NC","4/29/14","12:00:00","","","USGS-02086849","Routine sample","Not determined","Height, gage","","1.66","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","","","USGS-02086849","Routine sample","Not determined","Height, gage","","1.7","Accepted","Actual"
"USGS-NC","4/21/86","10:10:00","","","USGS-02086849","Routine sample","Falling stage","Height, gage","","1.7","Historical","Actual"
"USGS-NC","3/27/18","12:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.76","Accepted","Actual"
"USGS-NC","5/20/93","10:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.81","Historical","Actual"
"USGS-NC","5/26/93","12:00:00","","","USGS-02086849","Storm","Rising stage","Height, gage","","1.82","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","","","USGS-02086849","Routine sample","Stable, high stage","Height, gage","","2.12","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","","","USGS-02086849","Routine sample","Not determined","Height, gage","","2.88","Accepted","Actual"
"USGS-NC","7/8/11","16:15:00","7/8/11","21:45:59","USGS-02086849","Storm","Rising stage","Height, gage","","4.72","Accepted","Actual"
"USGS-NC","3/2/07","8:45:00","","","USGS-02086849","Storm","Falling stage","Height, gage","","6.17","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","","","USGS-02086849","Storm","Peak stage","Height, gage","","7.04","Accepted","Actual"
"USGS-NC","9/26/83","8:30:00","","","USGS-02086849","Routine sample","Stable, low stage","True color","Dissolved","10","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","True color","Dissolved","100","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","","","USGS-02086849","Routine sample","Rising stage","True color","Dissolved","120","Historical","Actual"
