"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","11","Historical","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.1","Historical","Actual"
"USGS-NC",2017-12-08,"22:12:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.1","Accepted","Actual"
"USGS-NC",2017-05-24,"20:05:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.1","Accepted","Actual"
"USGS-NC",2017-01-02,"9:50:00",NA,"","USGS-0208675009","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.1","Accepted","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","12","Historical","Actual"
"USGS-NC",1983-03-18,"17:25:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.2","Historical","Actual"
"USGS-NC",2017-04-25,"3:35:00",NA,"","USGS-0208675009","Storm","Stable, high stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.2","Accepted","Actual"
"USGS-NC",2016-10-08,"16:45:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.2","Accepted","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","13","Historical","Actual"
"USGS-NC",2017-06-20,"2:31:00",NA,"","USGS-0208675009","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.3","Accepted","Actual"
"USGS-NC",2017-10-11,"18:40:00",NA,"","USGS-0208675009","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.3","Accepted","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","14","Historical","Actual"
"USGS-NC",1984-10-23,"14:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","14","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","14","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","14","Historical","Actual"
"USGS-NC",2010-09-27,"3:45:00",2010-09-27,"8:00:59","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.4","Accepted","Actual"
"USGS-NC",2008-09-06,"12:45:00",NA,"","USGS-02086849","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.5","Accepted","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","16","Historical","Actual"
"USGS-NC",2017-01-23,"7:30:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.7","Accepted","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","18","Historical","Actual"
"USGS-NC",2017-06-17,"15:32:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.8","Accepted","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.8","Historical","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.9","Accepted","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","21","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.1","Historical","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","22","Historical","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.2","Accepted","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","23","Historical","Actual"
"USGS-NC",2017-10-23,"22:25:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.3","Accepted","Actual"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.4","Historical","Actual"
"USGS-NC",1985-01-03,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.5","Historical","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.5","Accepted","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.6","Historical","Actual"
"USGS-NC",1984-03-14,"12:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","4","Historical","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","9.3","Historical","Actual"
"USGS-NC",1984-04-09,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","9.3","Historical","Actual"
"USGS-NC",1987-01-08,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","9.9","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","0.79","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","10","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","1","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","13","Historical","Actual"
"USGS-NC",1986-03-25,"9:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","13","Historical","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","19","Historical","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","3.6","Historical","Actual"
"USGS-NC",2011-10-26,"10:35:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.046","Preliminary","Actual"
"USGS-NC",2012-03-30,"12:10:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Phosphorus","Total","0.061","Preliminary","Actual"
"USGS-NC",2016-07-12,"15:20:00",NA,"","USGS-02086841","Routine sample","Stable, normal stage","Phosphorus","Total","0.068","Accepted","Actual"
"USGS-NC",2012-02-23,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Phosphorus","Total","0.072","Preliminary","Actual"
"USGS-NC",2014-04-23,"10:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.075","Accepted","Actual"
"USGS-NC",2012-04-25,"12:30:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Phosphorus","Total","0.076","Preliminary","Actual"
"USGS-NC",2016-07-12,"11:00:00",NA,"","USGS-02086835","Routine sample","Stable, normal stage","Phosphorus","Total","0.078","Accepted","Actual"
"USGS-NC",2014-04-29,"12:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.079","Accepted","Actual"
"USGS-NC",2014-06-03,"9:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.08","Accepted","Actual"
"USGS-NC",2016-07-12,"11:45:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Phosphorus","Total","0.086","Accepted","Actual"
"USGS-NC",2016-07-12,"13:10:00",NA,"","USGS-360226078512801","Routine sample","Stable, normal stage","Phosphorus","Total","0.088","Accepted","Actual"
"USGS-NC",2017-06-26,"14:45:00",NA,"","USGS-0208675009","Routine sample","Stable, low stage","Phosphorus","Total","0.092","Accepted","Actual"
"USGS-NC",2016-12-06,"14:30:00",NA,"","USGS-0208675009","Storm","Rising stage","Phosphorus","Total","0.099","Accepted","Actual"
"USGS-NC",2016-07-12,"9:45:00",NA,"","USGS-0208682450","Routine sample","Stable, normal stage","Phosphorus","Total","0.106","Accepted","Actual"
"USGS-NC",2014-05-06,"15:20:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","0.107","Accepted","Actual"
"USGS-NC",2014-05-20,"14:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.109","Accepted","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","0.11","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Phosphorus","Total","0.14","Historical","Actual"
"USGS-NC",2017-03-14,"2:36:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.157","Accepted","Actual"
"USGS-NC",2017-02-09,"5:30:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.159","Accepted","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","0.19","Historical","Actual"
"USGS-NC",2014-04-08,"13:30:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Phosphorus","Total","0.195","Accepted","Actual"
"USGS-NC",1983-03-18,"17:25:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.21","Historical","Actual"
"USGS-NC",2017-01-02,"9:50:00",NA,"","USGS-0208675009","Routine sample","Rising stage","Phosphorus","Total","0.213","Accepted","Actual"
"USGS-NC",2017-05-24,"20:05:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.215","Accepted","Actual"
"USGS-NC",2008-09-06,"12:45:00",NA,"","USGS-02086849","Storm","Falling stage","Phosphorus","Total","0.22","Accepted","Actual"
"USGS-NC",2017-10-11,"18:40:00",NA,"","USGS-0208675009","Storm","Falling stage","Phosphorus","Total","0.236","Accepted","Actual"
"USGS-NC",2016-10-08,"16:45:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.247","Accepted","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","0.25","Historical","Actual"
"USGS-NC",2017-06-20,"2:31:00",NA,"","USGS-0208675009","Storm","Rising stage","Phosphorus","Total","0.263","Accepted","Actual"
"USGS-NC",2017-12-08,"22:12:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.274","Accepted","Actual"
"USGS-NC",2017-04-25,"3:35:00",NA,"","USGS-0208675009","Storm","Stable, high stage","Phosphorus","Total","0.282","Accepted","Actual"
"USGS-NC",2010-09-27,"3:45:00",2010-09-27,"8:00:59","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.314","Accepted","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Phosphorus","Total","0.36","Accepted","Actual"
"USGS-NC",2017-01-23,"7:30:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.371","Accepted","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Phosphorus","Total","0.4","Accepted","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","0.43","Historical","Actual"
"USGS-NC",2017-06-17,"15:32:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.46","Accepted","Actual"
"USGS-NC",1983-10-24,"8:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.53","Historical","Actual"
"USGS-NC",2017-10-23,"22:25:00",NA,"","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.554","Accepted","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.654","Accepted","Actual"
"USGS-NC",1985-01-03,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","0.75","Historical","Actual"
"USGS-NC",1984-03-14,"12:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.76","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Phosphorus","Total","0.79","Historical","Actual"
"USGS-NC",1985-06-18,"9:40:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","1","Historical","Actual"
"USGS-NC",1984-04-09,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","1.4","Historical","Actual"
"USGS-NC",1983-02-22,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","17","Historical","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","1.9","Historical","Actual"
"USGS-NC",1984-01-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","2.5","Historical","Actual"
"USGS-NC",1986-03-25,"9:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","2.8","Historical","Actual"
"USGS-NC",1983-11-29,"10:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","3.3","Historical","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","3.4","Historical","Actual"
"USGS-NC",1987-01-08,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","4","Historical","Actual"
"USGS-NC",1984-08-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","4.4","Historical","Actual"
"USGS-NC",1984-10-23,"14:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","4.5","Historical","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","4.8","Historical","Actual"
"USGS-NC",1984-06-05,"10:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","5.3","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.6","Historical","Actual"
"USGS-NC",1983-08-01,"9:05:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.9","Historical","Actual"
"USGS-NC",1983-09-26,"8:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","6","Historical","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","6.6","Historical","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Dissolved","0.06","Historical","Actual"
"USGS-NC",1984-02-23,"13:15:00",NA,"","USGS-02086849","Flood","Rising stage","Phosphorus","Dissolved","0.06","Historical","Actual"
"USGS-NC",1983-03-18,"10:05:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Dissolved","0.07","Historical","Actual"
"USGS-NC",1992-04-21,"15:30:00",NA,"","USGS-02086849","Storm","Peak stage","Phosphorus","Dissolved","0.6","Historical","Actual"
"USGS-NC",1986-03-25,"9:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Dissolved","2.4","Historical","Actual"
"USGS-NC",1986-01-22,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","4.5","Historical","Actual"
"USGS-NC",1984-09-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","5.5","Historical","Actual"
"USGS-NC",2011-10-26,"10:35:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Gage height","","0.09","Preliminary","Actual"
"USGS-NC",2012-03-30,"12:10:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Gage height","","0.11","Preliminary","Actual"
"USGS-NC",2012-02-23,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Gage height","","0.15","Preliminary","Actual"
"USGS-NC",1987-01-08,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Gage height","","0.28","Historical","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.3","Historical","Actual"
"USGS-NC",2014-06-03,"9:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Gage height","","0.45","Accepted","Actual"
"USGS-NC",2009-05-19,"11:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Gage height","","0.48","Accepted","Actual"
"USGS-NC",1992-11-18,"15:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.49","Historical","Actual"
"USGS-NC",2014-05-06,"15:20:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.5","Accepted","Actual"
"USGS-NC",2014-04-29,"12:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Gage height","","0.51","Accepted","Actual"
"USGS-NC",2014-04-23,"10:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Gage height","","0.52","Accepted","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Gage height","","0.52","Historical","Actual"
"USGS-NC",2018-03-27,"12:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.54","Accepted","Actual"
"USGS-NC",1993-05-26,"12:00:00",NA,"","USGS-02086849","Storm","Rising stage","Gage height","","0.55","Historical","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.55","Historical","Actual"
"USGS-NC",2014-04-08,"13:30:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Gage height","","0.65","Accepted","Actual"
"USGS-NC",2014-05-20,"14:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Gage height","","0.88","Accepted","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Gage height","","1.44","Accepted","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Gage height","","1.88","Accepted","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Gage height","","2.15","Accepted","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Gage height","","3.28","Historical","Actual"
"USGS-NC",2008-09-06,"12:45:00",NA,"","USGS-02086849","Storm","Falling stage","Gage height","","3.62","Accepted","Actual"
"USGS-NC",2018-03-27,"11:00:00",NA,"","USGS-360211078513701","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","0.94","Accepted","Actual"
"USGS-NC",2018-03-27,"12:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","2.75","Accepted","Actual"
