"MonitoringLocationIdentifier","ActivityStartDate","ActivityEndDate","HydrologicEvent","CharacteristicName","meanresult"
"21NC01WQ-J1330000",1982-05-18,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-06-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-07-12,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-08-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-09-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-10-14,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-11-04,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-12-08,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-01-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-02-03,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-03-14,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-04-05,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-05-10,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-06-02,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-07-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-08-03,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-09-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-10-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-11-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1983-12-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-01-05,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-02-23,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-03-08,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-04-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-05-25,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-06-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-07-26,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-08-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-09-14,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-10-26,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-11-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1984-12-10,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-01-22,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-02-12,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-03-19,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-04-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-05-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-06-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-07-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-08-26,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-09-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-10-22,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-11-12,NA,"","Flow",NA
"21NC01WQ-J1330000",1985-12-12,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-01-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-02-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-03-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-04-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-05-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-06-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-07-23,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-10-24,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-11-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1986-12-10,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-01-28,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-03-03,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-03-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-04-07,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-05-07,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-06-24,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-08-25,NA,"","Flow",NA
"21NC01WQ-J1330000",1987-09-23,NA,"","Flow",NA
"21NC01WQ-J1330000",1988-11-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1988-12-21,NA,"","Flow",NA
"21NC01WQ-J1330000",1989-01-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1989-02-02,NA,"","Flow",NA
"21NC01WQ-J1330000",1989-03-27,NA,"","Flow",NA
"21NC01WQ-J1330000",1989-05-05,NA,"","Flow",NA
"21NC01WQ-J1330000",1992-03-12,NA,"","Flow",NA
"21NC01WQ-J1330000",1992-04-19,NA,"","Flow",NA
"21NC01WQ-J1330000",1992-07-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1992-09-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1992-11-18,NA,"","Flow",NA
"21NC01WQ-J1330000",1992-12-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-01-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-02-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-03-23,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-04-28,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-05-18,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-06-23,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-07-26,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-08-12,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-09-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-10-19,NA,"","Flow",NA
"21NC01WQ-J1330000",1993-11-17,NA,"","Flow",NA
"21NC02WQ-J1330000",1997-01-23,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-02-18,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-03-13,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-04-16,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-05-14,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-06-23,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-07-30,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-08-05,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-09-24,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-10-23,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-11-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1997-12-19,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-01-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-02-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-03-10,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-04-13,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-05-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-06-08,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-07-09,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-08-17,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-09-21,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-10-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-11-04,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1998-12-03,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-01-11,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-02-11,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-03-04,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-04-15,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-05-10,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-06-09,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-07-22,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-08-16,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-09-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-10-19,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-11-08,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",1999-12-14,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-01-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-02-21,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-03-27,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-04-24,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-06-02,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-06-28,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-07-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2000-08-08,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2001-02-26,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2001-05-22,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2001-11-06,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2002-02-25,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2002-05-13,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2002-08-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2002-11-14,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2003-02-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2003-05-12,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2003-08-05,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2003-11-03,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2004-01-05,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2004-04-01,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2004-07-06,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2004-10-06,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-01-11,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-03-09,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-03-23,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-04-03,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-04-18,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-05-04,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-05-17,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-06-02,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-06-16,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-06-28,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-07-14,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-07-28,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-08-11,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-08-23,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-09-23,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-10-05,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-10-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-11-02,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-11-16,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-11-29,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-12-16,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2005-12-28,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-01-11,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-01-26,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-02-07,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-02-22,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-03-08,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-03-22,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-04-04,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-04-18,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-05-11,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-05-18,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-06-02,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-06-15,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-06-28,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-07-13,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-07-28,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-08-10,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-08-24,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-09-07,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-09-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-10-05,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-10-19,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-11-03,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-11-14,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-11-28,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-12-17,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2006-12-27,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-01-10,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-01-29,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-02-06,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-02-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-03-08,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-03-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-04-10,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-04-18,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-05-02,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-05-18,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-06-04,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-06-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-07-01,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-07-17,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-08-01,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-08-09,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-09-04,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-09-20,NA,"","Total suspended solids",NA
"21NC02WQ-J1330000",2007-10-31,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2008-01-28,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-01-28,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2008-04-30,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-04-30,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2008-05-27,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-06-25,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-07-28,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-07-28,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2008-08-18,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-09-04,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-10-16,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-10-16,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2008-11-05,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2008-12-03,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-01-05,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-01-05,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2009-02-05,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-03-10,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-04-07,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-04-07,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2009-05-07,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-06-04,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-07-08,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-07-08,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2009-10-21,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2009-10-21,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2010-01-21,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2010-01-21,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2010-04-08,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2010-04-08,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2010-07-14,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2010-07-14,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2010-10-26,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2010-10-26,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2011-01-05,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2011-01-05,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2011-04-06,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2011-04-06,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2011-07-11,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2011-07-11,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2011-10-17,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2011-10-17,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2012-01-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2012-01-09,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2012-04-10,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2012-04-10,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2012-07-18,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2012-07-18,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2012-08-07,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2012-09-25,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2012-10-08,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2012-10-08,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2012-11-26,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2012-12-04,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-01-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-01-09,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2013-02-20,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-03-18,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-04-04,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-04-04,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2013-05-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-06-06,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-07-15,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-07-15,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2013-08-13,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-09-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-10-23,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-10-23,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2013-11-12,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2013-12-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-01-22,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-01-22,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2014-02-20,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-03-31,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-04-24,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-04-24,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2014-05-13,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-06-11,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-07-08,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-07-08,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2014-09-15,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-10-02,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-10-02,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2014-11-03,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2014-12-08,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-01-15,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-01-15,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2015-02-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-03-17,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-04-22,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-04-22,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2015-05-07,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-06-16,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-07-15,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-07-15,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2015-08-05,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-09-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-10-26,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2015-10-26,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2015-12-01,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-02-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-03-09,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-04-13,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-04-13,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2016-05-12,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-06-14,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-07-12,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-07-12,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2016-08-11,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-09-08,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-10-11,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-10-11,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2016-11-08,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2016-12-14,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-01-25,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-01-25,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2017-02-13,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-03-07,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-04-19,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-04-19,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2017-05-30,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-06-28,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-07-31,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-07-31,NA,"","Total suspended solids",NA
"21NC03WQ-J1330000",2017-08-31,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-09-28,NA,"","Phosphorus",NA
"21NC03WQ-J1330000",2017-10-26,NA,"","Phosphorus",NA
