OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-02086845,"ELLERBE CREEK 1.39 MI BELOW SR 1669 NR WEAVER, NC",Stream,,3020201,19.5,sq mi,,,36.04625,-78.8545,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086849,"ELLERBE CREEK NEAR GORMAN, NC",Stream,,3020201,21.9,sq mi,,,36.05931106,-78.8325065,,1,seconds,Interpolated from MAP.,NAD83,252.31,feet,0.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360211078513701,"UT TO ELLERBE CR 0.63 MI BLW SR1669 NR WEAVER, NC",Stream,,3020201,0.5,sq mi,,,36.03626389,-78.860175,24000,0.5,seconds,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360226078512801,"UT TO ELLERBE CR 1.04 MI BLW SR1669 NR WEAVER, NC",Stream,,3020201,1.12,sq mi,,,36.0405833,-78.8576667,24000,0.5,seconds,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
21NC01WQ,NCDENR-DWQ,21NC01WQ-J1269000,ELLERBE CRK AT SR 1709 AT DURHAM 2088,River/Stream,ELLERBE CRK AT SR 1709 AT DURHAM 2088,3020201,,,,,36.022,-78.871,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,63,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J1270000,ELLERBE CRK TRIB ATW CLUB BLVD DR INACT 770929,River/Stream,ELLERBE CRK TRIB ATW CLUB BLVD DR INACT 770929,3020201,,,,,36.017,-78.915,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,63,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J1280000,GOOSE CRK 200 FT UPS SR 1669 AT DURHAM,River/Stream,GOOSE CRK 200 FT UPS SR 1669 AT DURHAM,3020201,,,,,36.027,-78.865,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,63,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J1290000,ELLERBE CRK AT SR 1669 NR DURHAM INACT 750205,River/Stream,ELLERBE CRK AT SR 1669 NR DURHAM INACT 750205,3020201,,,,,36.028,-78.865,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,63,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-J1330000,ELLERBE CRK AT SR 1636 NR DURHAM,River/Stream,ELLERBE CRK AT SR 1636 NR DURHAM,3020201,,,,,36.0595,-78.8322,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,63,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-J1330000,ELLERBE CRK AT SR 1636 NR DURHAM,River/Stream,,3020201,,,,,36.05949,-78.83224,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,63,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-J1330000,ELLERBE CRK AT SR 1636 NR DURHAM,River/Stream,,3020201,,,,,36.05949,-78.83224,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,63,,,,,,,,,STORET
